imageId,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3,1.43E+00,2.80E+00,0.00E+00,3.17E+00,3.41E+00,0.00E+00,1.96E+00,3.54E+00,1.83E+00,1.62E+00,1.75E+00,0.00E+00,2.26E+00,1.10E+00,0.00E+00
3,1.27E+00,2.81E+00,0.00E+00,2.68E+00,2.14E+00,0.00E+00,2.96E+00,4.37E+00,8.27E-01,3.05E+00,4.38E+00,0.00E+00,3.25E+00,1.09E+00,0.00E+00
3,6.55E-01,2.41E+00,0.00E+00,2.49E+00,4.46E+00,0.00E+00,3.05E+00,4.50E+00,2.37E+00,1.54E+00,2.49E+00,0.00E+00,2.04E+00,1.62E+00,0.00E+00
3,1.41E+00,3.73E+00,0.00E+00,2.95E+00,2.38E+00,0.00E+00,2.73E+00,3.64E+00,1.05E+00,2.16E+00,3.53E+00,0.00E+00,2.28E+00,1.54E+00,0.00E+00
3,0.00E+00,3.24E+00,0.00E+00,2.56E+00,3.39E+00,0.00E+00,3.75E+00,5.36E+00,1.82E+00,2.38E+00,4.27E+00,0.00E+00,2.69E+00,1.51E+00,0.00E+00
5,2.78E+00,2.76E+00,0.00E+00,1.04E+00,3.33E+00,0.00E+00,1.93E+00,2.54E+00,1.83E+00,1.96E+00,3.21E+00,0.00E+00,4.07E+00,1.17E+00,0.00E+00
5,2.37E+00,1.85E+00,0.00E+00,6.35E-01,3.98E+00,0.00E+00,1.72E+00,3.14E+00,2.23E+00,2.16E+00,2.95E+00,0.00E+00,3.57E+00,1.36E+00,0.00E+00
5,2.41E+00,2.34E+00,0.00E+00,6.72E-01,3.67E+00,0.00E+00,2.15E+00,2.93E+00,2.06E+00,1.72E+00,3.19E+00,0.00E+00,3.59E+00,1.43E+00,0.00E+00
5,2.07E+00,2.43E+00,0.00E+00,9.57E-01,3.59E+00,0.00E+00,1.63E+00,2.63E+00,2.34E+00,1.66E+00,2.66E+00,0.00E+00,3.62E+00,1.48E+00,0.00E+00
5,2.24E+00,2.41E+00,0.00E+00,8.55E-01,3.12E+00,0.00E+00,1.37E+00,2.29E+00,1.99E+00,1.65E+00,2.89E+00,0.00E+00,3.89E+00,1.13E+00,0.00E+00
5,2.16E+00,2.30E+00,0.00E+00,5.83E-01,3.21E+00,0.00E+00,2.28E+00,2.88E+00,2.16E+00,1.72E+00,3.19E+00,0.00E+00,3.82E+00,8.64E-01,0.00E+00
5,1.49E+00,2.62E+00,0.00E+00,2.62E-01,3.83E+00,0.00E+00,3.63E+00,4.16E+00,2.04E+00,2.05E+00,4.89E+00,0.00E+00,3.22E+00,1.18E+00,0.00E+00
5,6.16E-01,3.33E+00,0.00E+00,9.31E-02,5.08E+00,0.00E+00,3.68E+00,4.83E+00,1.14E+00,1.44E+00,4.52E+00,0.00E+00,1.77E+00,2.38E+00,0.00E+00
5,1.41E+00,4.76E+00,0.00E+00,7.08E-01,4.45E+00,0.00E+00,1.79E+00,3.51E+00,2.17E+00,1.30E+00,1.80E+00,0.00E+00,1.79E+00,1.22E+00,0.00E+00
5,2.22E+00,3.51E+00,0.00E+00,1.90E+00,3.11E+00,0.00E+00,8.02E-01,1.91E+00,6.33E-01,2.00E+00,2.53E+00,0.00E+00,4.47E+00,2.86E-01,0.00E+00
5,2.45E+00,2.33E+00,0.00E+00,1.02E+00,3.07E+00,0.00E+00,1.61E+00,2.34E+00,1.62E+00,1.99E+00,2.45E+00,0.00E+00,4.66E+00,9.53E-01,0.00E+00
